V1,V2
E2F4,CDCA7
E2F4,TOP2A
E2F4,SLC6A4
E2F4,RUNDC1
E2F4,RET
E2F4,PBK
E2F4,NELL2
E2F4,NEK2
E2F4,LPL
E2F4,KLK3
E2F4,KIF4A
E2F4,KIF2C
E2F4,HOXC12
E2F4,HORMAD1
E2F4,HIST1H3H
E2F4,FZD9
E2F4,FANCC
E2F4,EXO1
E2F4,DLL4
E2F4,DACT2
E2F4,CHRDL1
E2F4,BRSK2
E2F4,TROAP
E2F4,KIF20A
E2F4,UBE2C
E2F4,IQGAP3
E2F4,KIF18B
E2F4,SPC24
E2F4,SKA1
E2F4,ASPM
E2F4,CEP55
E2F4,SHC1
E2F4,XRCC2
E2F4,DIAPH3
E2F4,KIF14
E2F4,CDC25C
E2F4,HMMR
E2F4,GJB2
E2F4,GADD45A
E2F4,FGF7
E2F6,ETS1
E2F6,SUZ12
E2F6,FOS
E2F6,GATA1
E2F6,NR3C1
E2F6,HDAC2
E2F6,JUN
E2F6,JUND
E2F6,MAX
E2F6,MEF2A
E2F6,MXI1
E2F6,PBX3
E2F6,POU2F2
E2F6,SP1
E2F6,BRCA1
E2F6,TAF7
E2F6,TCF4
E2F6,ZEB1
E2F6,TCF12
E2F6,TFAP2C
E2F6,USF1
E2F6,YY1
E2F6,FOSL1
E2F6,CCNT2
E2F6,SMC3
E2F6,STAT5A
E2F6,PAX6
E2F6,HNF1A
E2F6,TFAP4
E2F6,SOX9
E2F6,NR2F1
E2F6,NFIL3
E2F6,NFE2L1
E2F6,MYBL2
E2F6,CLEC5A
E2F6,MAPK1
E2F6,JUNB
E2F6,HLF
E2F6,FOSB
E2F6,E2F3
E2F6,CTNNB1
E2F6,BACH2
E2F6,BACH1
E2F6,ATF7
E2F6,ATF5
E2F6,HDAC1
E2F6,INSM1
E2F6,MCM6
E2F6,NOTCH2
E2F6,RAD51
E2F6,RB1
E2F6,UHRF1
E2F6,CEACAM5
E2F6,CES1
E2F6,CEACAM6
E2F6,PPM1D
E2F6,DLK1
E2F6,LHX2
E2F6,COL4A2
E2F6,CSAG1
E2F6,EPO
E2F6,HEPACAM
E2F6,FGF21
E2F6,MYEOV
E2F6,ITIH2
E2F6,MAGEA2
E2F6,MAGEA3
E2F6,MSH2
E2F6,FXYD1
E2F6,RBP4
E2F6,CDC42BPA
E2F6,AOC3
E2F6,RECQL5
E2F6,GBX2
E2F6,EXT1
E2F6,CASP14
E2F6,IGFL3
E2F6,HSPB6
E2F6,DTL
E2F6,RAD51C
E2F6,TNXB
E2F6,RTBDN
E2F6,MELK
E2F6,BMPR1B
E2F6,HIST1H2BO
E2F6,WNT5A
E2F6,MSH6
E2F6,WNT9A
E2F6,PKMYT1
E2F6,IGF1R
E2F6,CDCA7
E2F6,SLC6A4
E2F6,RUNDC1
E2F6,RET
E2F6,NELL2
E2F6,LPL
E2F6,HOXC12
E2F6,HORMAD1
E2F6,HIST1H3H
E2F6,FZD9
E2F6,DLL4
E2F6,DACT2
E2F6,CHRDL1
E2F6,BRSK2
E2F6,XRCC2
E2F6,PDE3B
E2F6,PMS2
E2F6,PIK3R3
EBF1,EGR1
EBF1,EP300
EBF1,GATA3
EBF1,HSF1
EBF1,IRF4
EBF1,JUN
EBF1,PAX5
EBF1,POU2F2
EBF1,RFX5
EBF1,BCL3
EBF1,SPI1
EBF1,ZEB1
EBF1,TFAP2C
EBF1,ZNF143
EBF1,BHLHE40
EBF1,BCLAF1
EBF1,PPARG
EBF1,NFKB2
EBF1,ATF2
EBF1,TCF3
EBF1,RREB1
EBF1,JUNB
EBF1,DDIT3
EBF1,CUX1
EBF1,CREBBP
EBF1,ATF5
EBF1,ARNT
EBF1,ASCL1
EBF1,DDB2
EBF1,NCOA3
EBF1,CEACAM5
EBF1,CEACAM6
EBF1,CDC20
EBF1,LHX2
EBF1,RECQL5
EBF1,G0S2
EBF1,A2ML1
EBF1,FABP6
EBF1,CASP14
EBF1,IGFL3
EBF1,MMP10
EBF1,DLK2
EBF1,HPD
EBF1,BAX
EBF1,WNT7A
EBF1,CDC73
EBF1,PIK3R1
EBF1,HRAS
EBF1,ABCD2
EBF1,EMX1
EBF1,AKT2
EBF1,MS4A15
EBF1,PIK3CD
EBF1,TFR2
EBF1,GPAM
EBF1,DVL1
EGR1,ELK4
EGR1,EP300
EGR1,ESRRA
EGR1,ETS1
EGR1,FOS
EGR1,FOSL2
EGR1,MAFF
EGR1,GABPA
EGR1,SIN3A
EGR1,ZZZ3
EGR1,GATA2
EGR1,KAT2A
EGR1,NR3C1
EGR1,GTF2B
EGR1,GTF2F1
EGR1,HSF1
EGR1,JUN
EGR1,JUND
EGR1,MAX
EGR1,MEF2A
EGR1,ATF3
EGR1,NFE2
EGR1,NFKB1
EGR1,NFYA
EGR1,NFYB
EGR1,NRF1
EGR1,ZBTB7A
EGR1,BCL11A
EGR1,POU2F2
EGR1,WRNIP1
EGR1,RAD21
EGR1,REST
EGR1,BCL3
EGR1,RXRA
EGR1,SMARCA4
EGR1,SP1
EGR1,SP2
EGR1,BRCA1
EGR1,SREBF2
EGR1,SRF
EGR1,STAT1
EGR1,STAT2
EGR1,STAT3
EGR1,TAF7
EGR1,TAL1
EGR1,TCF4
EGR1,TFAP2A
EGR1,USF2
